Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
226470,"The Collected Stories of Philip K. Dick, Volume 4: Minority Report","Philip K. Dick","Dick, Philip K.","James Tiptree, Jr.",="1857989473",="9781857989472",0,"4.17","Millennium","Paperback","380",2000,1987,,2011/09/18,"","","read",,"",,,,,0,,,,,
609481,"Gateway (Heechee Saga, #1)","Frederik Pohl","Pohl, Frederik","",="1857988183",="9781857988185",0,"4.06","Gollancz","Paperback","313",1999,1976,,2011/09/18,"","","read",,"",,,,,0,,,,,
186105,"Fine Prey","Scott Westerfeld","Westerfeld, Scott","",="0451456971",="9780451456977",0,"3.83","Roc","Paperback","288",1998,1998,,2011/09/18,"","","read",,"",,,,,0,,,,,
216422,"The Last Command (Star Wars: The Thrawn Trilogy, #3)","Timothy Zahn","Zahn, Timothy","",="0553564927",="9780553564921",0,"4.17","Spectra","Paperback","467",1994,1993,,2011/09/18,"","","read",,"",,,,,0,,,,,
1172975,"Star Wars: Dark Force Rising (Star Wars: The Thrawn Trilogy, #2)","Timothy Zahn","Zahn, Timothy","",="0553404423",="9780553404425",0,"4.10","Bantam Books","Unknown Binding","",1996,1992,,2011/09/18,"","","read",,"",,,,,0,,,,,
216444,"Star Wars: Heir to the Empire (Star Wars: The Thrawn Trilogy, #1)","Timothy Zahn","Zahn, Timothy","",="0553404717",="9780553404715",0,"4.08","Bantam","Mass Market Paperback","398",1992,1991,,2011/09/18,"","","read",,"",,,,,0,,,,,
367217,"The Far Shore of Time (Eschaton Sequence, #3)","Frederik Pohl","Pohl, Frederik","",="0812577833",="9780812577839",0,"3.45","Tor Science Fiction","Paperback","320",2000,1999,,2011/09/18,"","","read",,"",,,,,0,,,,,
664642,"Stardoc (Stardoc, #1)","S.L. Viehl","Viehl, S.L.","",="0451457730",="9780451457738",1,"3.76","Roc","Paperback","394",2000,2000,,2011/09/18,"","","read",,"",,,,,0,,,,,
1361835,"The Collapsium (The Queendom of Sol #1)","Wil McCarthy","McCarthy, Wil","",="055358443X",="9780553584431",0,"3.73","Bantam","Paperback","428",2002,2000,,2011/09/18,"","","read",,"",,,,,0,,,,,
1197010,"In Conquest Born (In Conquest Born, #1)","Celia S. Friedman","Friedman, Celia S.","C.S. Friedman",="0886771986",="9780886771980",0,"3.87","DAW","Paperback","512",1986,1986,,2011/09/18,"","","read",,"",,,,,0,,,,,
2364168,"Penumbra","Eric Brown","Brown, Eric","",="1857985923",="9781857985924",0,"3.38","Gollancz","Paperback","346",1999,1999,,2011/09/18,"","","read",,"",,,,,0,,,,,
185824,"Cosmonaut Keep (Engines Of Light, #1)","Ken MacLeod","MacLeod, Ken","",="0765340739",="9780765340733",0,"3.56","Tor Science Fiction","Paperback","352",2002,2000,,2011/09/18,"","","read",,"",,,,,0,,,,,
268638,"The Mote in God's Eye (Moties, #1)","Larry Niven","Niven, Larry","Jerry Pournelle",="0671741926",="9780671741921",0,"4.04","Pocket Books","Mass Market Paperback","560",1991,1974,,2011/09/18,"","","read",,"",,,,,0,,,,,
185823,"Engine City (Engines Of Light, #3)","Ken MacLeod","MacLeod, Ken","",="0765344211",="9780765344212",0,"3.53","Tor Books","Paperback","304",2004,2002,,2011/09/18,"","","read",,"",,,,,0,,,,,
2186184,"Genocide (Aliens)","David Bischoff","Bischoff, David","",="0553563718",="9780553563719",0,"3.49","Spectra","Paperback","282",1993,1993,,2011/09/18,"","","read",,"",,,,,0,,,,,
539810,"Children of the Mind","Orson Scott Card","Card, Orson Scott","",="0812522397",="9780812522396",2,"3.70","Tor Science Fiction","Mass Market Paperback","370",1997,1996,,2011/09/18,"","","read",,"",,,,,0,,,,,
579727,"Xenocide","Orson Scott Card","Card, Orson Scott","",="0812509250",="9780812509250",2,"3.73","Tor","Paperback","592",1992,1991,,2011/09/18,"","","read",,"",,,,,0,,,,,
7967,"Speaker for the Dead (The Ender Quintet, #2)","Orson Scott Card","Card, Orson Scott","",="0812550757",="9780812550757",3,"4.01","Tor Books","Paperback","382",1994,1986,,2011/09/18,"","","read",,"",,,,,0,,,,,
375802,"Ender's Game (The Ender Quintet, #1)","Orson Scott Card","Card, Orson Scott","",="0812550706",="9780812550702",4,"4.28","Tor Science Fiction","Paperback","324",1994,1985,,2011/09/18,"","","read",,"",,,,,0,,,,,
36162,"This Alien Shore","C.S. Friedman","Friedman, C.S.","",="0886777992",="9780886777999",4,"4.01","DAW","Mass Market Paperback","564",1999,1998,,2011/09/18,"","","read",,"",,,,,0,,,,,
611402,"The Other End of Time","Frederik Pohl","Pohl, Frederik","",="0812535197",="9780812535198",0,"3.41","Tor Science Fiction","Paperback","352",1997,1996,,2011/09/18,"","","read",,"",,,,,0,,,,,
449426,"The Siege of Eternity (Eschaton Sequence, #2)","Frederik Pohl","Pohl, Frederik","",="0812577663",="9780812577662",0,"3.38","Tor Science Fiction","Paperback","352",1998,1997,,2011/09/18,"","","read",,"",,,,,0,,,,,
362806,"The Foreigners (Gollancz Sf S.)","James Lovegrove","Lovegrove, James","",="1857987918",="9781857987911",0,"3.36",,,"",,,,2011/09/18,"","","read",,"",,,,,0,,,,,
48484,"Blindsight (Firefall, #1)","Peter Watts","Watts, Peter","",="0765312182",="9780765312181",0,"3.95","Tor Books","Hardcover","384",2006,2006,,2011/09/01,"","","read",,"",,,,,0,,,,,
101864,"Iron Sunrise (Eschaton, #2)","Charles Stross","Stross, Charles","",="1841493368",="9781841493367",3,"3.94","Orbit","Paperback","480",2005,2004,,2011/09/01,"","","read",,"",,,,,0,,,,,
17863,"Accelerando","Charles Stross","Stross, Charles","",="0441014151",="9780441014156",0,"3.87","Ace","Paperback","432",2006,2005,,2011/09/01,"","","read",,"",,,,,0,,,,,
515658,"2XS (Shadowrun, #4)","Nigel Findley","Findley, Nigel","Christian Jentzsch, John Zeleznick, Mirjam Wehner, Joel Biske",="3453062116",="9783453062115",0,"3.82","Heyne","Taschenbuch","462",1997,1992,,2011/09/01,"","","read",,"",,,,,0,,,,,
938171,"Singularity Sky (Eschaton, #1)","Charles Stross","Stross, Charles","",="0441011799",="9780441011797",4,"3.80","Ace","Mass Market Paperback","337",2004,2003,,2011/09/01,"","","read",,"",,,,,0,,,,,
611269,"Shadowplay (Shadowrun, #9)","Nigel Findley","Findley, Nigel","",="0451452283",="9780451452283",0,"3.62","Roc","Paperback","384",1993,1993,,2011/09/01,"","","read",,"",,,,,0,,,,,
675516,"Iris","William Barton","Barton, William","Michael Capobianco",="0380730383",="9780380730384",0,"3.18","Eos","Paperback","448",1999,1990,,2011/09/01,"","","read",,"",,,,,0,,,,,
